2016-2017,,,,,,,
Local Government Area,Residential Total MWh,Residential Total Customers,Non-Residential Small-Medium-Sites MWh,Total Non-Residential Small-Medium-Site Customers,Non-Residential Large Sites MWh,Total Non-Residential Large Sites Customers,Unmetered Supply MWh
BAYSIDE*,300496.327,63900.10411,130091.874,5808.509589,235860.9467,495.090411,6769.002596
BURWOOD,67766.37596,14057.50685,38104.19525,1807.043836,93471.58001,111.0876712,1263.164308
CANADA BAY,189773.4476,37636.22192,66357.2199,2876.89863,139325.6044,246.9232877,2767.068674
CANTERBURY-BANKSTOWN*,717330.1689,126200.6192,229914.058,11686.54247,560717.1288,771.0356164,12275.5746
CENTRAL COAST*,926395.5878,148370.3863,227451.939,12030.5726,542898.8829,762.9150685,12792.47687
CESSNOCK,165737.3815,23227.76438,41834.25553,1814.654795,71242.84102,147.9232877,2136.3812
CUMBERLAND**,112364.7081,22634.12603,68860.8277,2600.468493,170032.786,241.1808219,2817.591137
GEORGES RIVER*,315416.2925,56749.90137,93688.46905,5446.161644,171812.3115,252.0109589,5254.785313
HORNSBY*,363310.2542,51510.92877,78292.64564,4079.931507,157345.8053,264.1205479,4693.113132
HUNTERS HILL,45328.07842,5505.761644,9263.43372,436.290411,16771.08602,27.41643836,445.0810347
INNER WEST*,363548.6555,83393.49041,175713.949,8817.580822,228322.2844,471.8575342,8190.226016
KU-RING-GAI,370686.5589,43561.6274,57744.3036,2618.893151,96112.68369,175.339726,4365.339894
LAKE MACQUARIE,543511.3611,83415.29589,120799.3758,6454.819178,205382.7818,406.8,5733.940159
LANE COVE,92586.87543,15268.31233,36942.04816,1521.767123,66925.68162,154.5780822,1467.276034
MAITLAND,213382.3134,31214.8,59390.86301,2893.934247,92100.22477,196.0986301,3532.398993
MOSMAN,94011.95244,14029.99726,22664.05796,1230.69863,19243.59817,64.45479452,996.6685782
MUSWELLBROOK,58052.49069,7251.794521,30211.14439,1348.424658,26924.59565,74.87671233,934.3574542
NEWCASTLE,368743.2386,70509.34521,169757.1939,7773.772603,289829.8785,565.5616438,8129.75625
NORTH SYDNEY,169417.1319,38913.59726,143467.2978,6311.090411,212431.6451,428.3589041,2104.365685
NORTHERN BEACHES*,630673.8303,105181.4877,211692.5472,11233.78082,322531.781,552.1506849,10204.82241
PARRAMATTA**,78037.92808,16817.78904,58897.47445,1725.712329,287311.2574,318.109589,599.7492784
PORT STEPHENS,216178.0863,33345.87671,53776.85223,2934.775342,103781.3768,204.0328767,2347.681629
RANDWICK,293527.0359,61518.41918,77697.17355,3465.210959,196025.9522,277.5041096,6616.672091
RYDE,255219.7309,47713.32329,115759.1393,4448.068493,444266.3714,611.8109589,4245.732633
SINGLETON,84619.70745,9687.306849,31934.80919,1693.808219,50241.69078,102.5726027,866.950443
STRATHFIELD,82373.35601,15208.49863,38513.2746,1554.435616,124845.2521,178.9315068,1611.991077
SUTHERLAND,628819.8469,86846.4,143489.6194,7466.306849,246160.3694,372.339726,7874.400931
SYDNEY,415277.5072,109525.9726,771728.6641,31411.29041,2321730.78,3078.39726,10590.6855
UPPER HUNTER,45386.39438,5673.490411,24445.91823,1261.060274,13163.65398,43.79178082,535.7667337
WAVERLEY,165424.5306,34203.83836,64697.39769,3213.753425,105802.4177,182.169863,1934.194175
WILLOUGHBY,174248.0967,30747.49863,120913.2285,4979.465753,293361.2601,388.0383562,2413.342803
WOOLLAHRA,196227.6478,27773.55342,57119.45624,2934.452055,53272.519,118.2383562,2732.010543
